title,text,url,source
News Archives,"The Minister of Women Affairs, Imaan Sulaiman-Ibrahim, has told workers in the ministry that she is not upset over their protest, adding that the controversy has rather made her more popular than she ...",https://punchng.com/topics/news/,https://punchng.com
Featured Archives,"The national grid suffered a collapse on Wednesday. This was confirmed in a public notice dated September 10, 2025, by the Abuja Electricity Distribution Company in a post on its X handle on Wednesday...",https://punchng.com/topics/featured/,https://punchng.com
Video Archives,"Welcome to Sawonjo, a peaceful town in Ogun State known for it’s remarkable reputation with no record of stealing in this community. Residents say theft is unheard of here, and the values passed dow...",https://punchng.com/topics/video/,https://punchng.com
BREAKING: NUPRC revokes Oritsemeyin rig’s licence over safety lapses,"The Nigerian Upstream Petroleum Regulatory Commission has revoked the operating licence of Oritsemeyin Rig and directed it to cease all operations upon the completion of its current well operations.

The notice is contained in a letter dated September 11, 2025, addressed to the operator of the rig, Selective Marine Services Limited, and signed by the Commission Chief Executive, Engineer Gbenga Komolafe.

The commission made the announcement of the revocation in a statement on Friday by the Head, Media and Strategic Communications, Eniola Akinkuotu.

The statement read, “The Nigerian Upstream Petroleum Regulatory Commission has revoked the operating licence of Oritsemeyin Rig and directed it to cease all operations upon the completion of its current well operations.”

The media head, in the statement, noted that the decision followed a thorough review of the circumstances surrounding the drilling of UDIBE-2 wellbore during which a kick was recorded, resulting in several Non-Productive Time with consequential cost and a forced well sidetrack.

A kick on an oil rig is the unwanted flow of formation fluids (oil, gas, or water) into the wellbore due to a temporary pressure imbalance, where the pressure inside the wellbore becomes lower than the formation pressure.

This phenomenon, if left unmanaged, can lead to a potentially catastrophic uncontrolled release of fluids called a blowout.

Subsequently, the NUPRC, in accordance with Section 97 of the Petroleum Industry Act 2021, issued a formal notice of culpability via a letter dated June 5, 2025, with a timeline of 21 days, followed by a reminder dated July 9, 2025, to ensure an amicable resolution, which was not achieved even beyond the stipulated time.

“Consequent upon the foregoing and pursuant to the relevant powers conferred on the commission under the extant Petroleum Industry Act 2021, the annual licence to operate granted to Selective Marine Services Limited for the Oritsemeyin Rig is hereby revoked,” the commission stated.

The upstream regulator also disqualified the Oritsemeyin Rig from all renewal protocols in strict compliance with the applicable provisions of the law forthwith.

The NUPRC noted that this action is in line with the Petroleum Industry Act, 2021, which empowers the commission to ensure compliance with good oilfield and international best industry practices, operational safety and optimisation, as well as promote technical excellence and preserve commercial and environmental sustainability.

The revocation of the Oritsemeyin Rig licence marks one of the most decisive enforcement actions by the Nigerian Upstream Petroleum Regulatory Commission since the enactment of the Petroleum Industry Act 2021, which gave the agency sweeping powers to regulate technical, operational, and environmental standards in the upstream sector.

By invoking Section 97 of the PIA, the NUPRC is signalling that erring operators will no longer be indulged with extensions, serving as a warning to other drilling contractors and rig operators to strengthen their operational safety procedures, invest in proper training, and ensure adherence to international oilfield practices.",https://punchng.com/breaking-nuprc-revokes-oritsemeyin-rigs-licence-over-safety-lapses/,https://punchng.com
"Naira weakens again due to dollar shortage, market uncertainty","The naira on Friday depreciated to N1,538 per dollar in the parallel market, weaker than N1,535/$ recorded on Thursday.

Similarly, in the Nigerian Foreign Exchange Market, the naira slipped to N1,503.5 per dollar from N1,503/$ on Thursday, reflecting a 50 kobo depreciation.

Data published by the Central Bank of Nigeria on Friday confirmed the official exchange movement.

Consequently, the margin between the parallel market and NFEM rate stood at N32/$, unchanged from Thursday.

For the week, the naira appreciated by N9.5 against the dollar in the official market.

However, in the parallel market, the local currency lost N8, after opening the week at N1,530/$.

Nigeria’s economy, heavily reliant on crude oil exports for foreign exchange earnings, is susceptible to global oil price fluctuations.

A decline in oil prices or a drop in production can significantly reduce the country’s foreign currency inflows. Compounding this issue is a high demand for foreign currency, primarily driven by the need to import raw materials and finished goods, and for a range of services, including international school fees and medical tourism.

Over the years, the CBN has implemented various policies to manage these challenges. These have included a dual-exchange rate system, which the government has recently moved away from in an attempt to unify the official and parallel markets.

Despite these reforms, the parallel market continues to thrive due to a persistent shortage of dollars in the official market, leading individuals and businesses to seek alternative sources.

The current administration’s decision to float the naira has been a major factor in the recent volatility.

This policy, aimed at allowing market forces to determine the currency’s value, has led to a significant depreciation.",https://punchng.com/naira-weakens-again-due-to-dollar-shortage-market-uncertainty/,https://punchng.com
Lagos resident doctors comply with warning strike,"Resident doctors across several Federal Government hospitals in Lagos State have fully complied with the five-day warning strike declared by the National Association of Resident Doctors.

A visit by the News Agency of Nigeria on Friday to institutions including the Federal Neuro-Psychiatric Hospital, Yaba; Lagos University Teaching Hospital; and the National Orthopaedic Hospital, Igbobi, showed full compliance, as resident doctors were absent from work.

NAN reports that NARD declared the five-day warning strike after a 24-hour ultimatum to the Federal Government expired. This followed an earlier 10-day deadline that lapsed on September 10 without resolution of their demands.

The doctors’ demands include the release of the 2025 Medical Residency Training Fund, payment of five months’ arrears arising from the revised Consolidated Medical Salary Structure, as well as outstanding specialist and hazard allowances.

The strike coincides with ongoing industrial action by resident doctors in Abuja and Oyo State and comes after NARD issued a 10-day ultimatum to relevant government agencies over unmet demands.

The President of the Association of Resident Doctors, LUTH, Dr Benjamin Uyi, urged the Federal Government to address the demands before the five-day strike ends to enable doctors to return to work.

Uyi described the demands as long overdue and said they centred on the welfare of doctors, which he stressed was crucial for effective healthcare delivery.

“Any doctor whose welfare is not met is already a risk to patients. For a doctor to function optimally, his or her physical, mental, and psychosocial needs must be balanced.

“Doctors are already burnt out, faced with excessive workload and poor schedules, yet the government is still failing to prioritise their welfare,” he said.

Similarly, the President of the Association of Resident Doctors, NOHIL, Dr Babatunde Egberongbe, described the strike as “unfortunate,” questioning why the Federal Government always allows industrial action in the health sector.

Egberongbe said incessant strikes were a major factor driving the migration of Nigerian health workers abroad.

“The poor working conditions for doctors are the main reason many are leaving the country to practise elsewhere. Currently, there are limited numbers of doctors in hospitals across the country, yet the government has not deemed it necessary to prioritise their welfare and demands.

“As a matter of urgency, the government must address our demands, because we are not asking for anything extraordinary,” he said.

(NAN)",https://punchng.com/lagos-resident-doctors-comply-with-warning-strike/,https://punchng.com
"Justify investment made in your training, COAS urges army officers","The Chief of Army Staff, Lt.-Gen. Olufemi Oluyede has charged officers of the Nigerian Army to be adaptive, professional, and forward-looking in addressing the prevailing security challenges confronting the nation.

Oluyede gave the charge on Friday in Abuja at the graduation ceremony of participants of the Nigerian Army Resource Centre Leadership and Strategic Studies Course 3/2024.

He was represented by the Director-General of the Nigerian Army Heritage and Future Centre, Maj.-Gen. Gbemiga Adesina.

He stated that the dynamic nature of Nigeria’s security environment demanded officers who could think critically, strategise effectively, and lead with vision.

“The Nigerian Army expects you to apply the knowledge and skills gained here to enhance operational efficiency and contribute meaningfully to national security.

“I charge you, therefore, to be exemplary ambassadors of this Centre and to justify the investment made in your training,” he said.

Oluyede said the course was designed to bridge operational and strategic knowledge gaps among officers, thereby raising competencies to the highest professional standards.

According to him, the graduands, mainly direct regular commissioned officers, underwent 11 months of intensive training in political economy, defence economics, leadership, strategy, military history, policy analysis, and critical thinking.

He commended the Director-General of NARC, retired Maj.-Gen. James Myam and his team for their tireless efforts in running the programme.

He also hailed the immediate past D-G, retired Maj.-Gen. Garba Wahab, for conceiving and nurturing the initiative.

The COAS further appreciated the contributions of resource persons, facilitators, and academic partners who enriched the course, as well as the families of officers who supported them throughout the training period.

He reiterated the Nigerian Army’s commitment to continuous human capacity development as a cornerstone of operational effectiveness.

Earlier, Myam described the 11-month course as rigorous and holistic, aimed at sharpening officers’ skills for effective service delivery.

He urged the graduands to apply the lessons learned and demonstrate professionalism in their respective formations, stressing that their performance would be closely monitored.

“We expect your performance to reflect the quality of learning you have received here.

“You will be monitored not only by your actions but also by the quality of your thoughts and contributions.

“We charge you to be worthy ambassadors of the Nigerian Army Resource Centre,” Myam said.

He thanked the COAS for his unwavering support of the centre in terms of funding and institutional backing, which made the course possible.

He also paid tribute to his predecessor, retired Maj.-Gen. Garba Wahab, for initiating the programme and acknowledged the sacrifices of families and spouses who supported the officers throughout the demanding course.

The News Agency of Nigeria reports that the LSSC was introduced to bridge training gaps between direct regular combatant officers and their regular combatant counterparts, with emphasis on leadership, strategy, and national security.

A total of 35 officers graduated from the course, including one Colonel and 34 Lieutenant Colonels drawn from various corps, units, and formations of the Nigerian Army.

(NAN)",https://punchng.com/justify-investment-made-in-your-training-coas-urges-army-officers/,https://punchng.com
"Mentor young women, Oluremi Tinubu urges female CEOs","Nigeria’s First Lady, Senator Oluremi Tinubu, has urged women in leadership roles to intensify their efforts in empowering and mentoring younger women to foster greater female representation.

Speaking at the State House during a visit by the Forum of Female Chief Executive Officers of Government Agencies and Organisations on Friday, she described the CEOs as trailblazers uniquely suited to their positions and emphasised their responsibility to nurture the next generation of women leaders.

Nigeria, like many countries, continues to grapple with issues of gender inequality, particularly in leadership and economic empowerment.

Despite constitutional provisions and international commitments to gender equity, women remain underrepresented in politics, government, and executive roles.

Tinubu encouraged the women leaders to leave a lasting legacy by mentoring others, drawing inspiration from iconic Nigerian matriarchs such as Funmilayo Ransome Kuti, Margaret Ekpo, Gambo Sawaba, and Abibat Mogaji.

“Invest in others by mentoring them and replicating your success in younger women to build a stronger collective,” she said, urging the CEOs to make impactful contributions beyond their official duties.

“We have to come together, better and stronger than them are. We have to ensure that we make life easier for women. Mentor young women, give scholarships, and take one person through life. Don’t look for the volume,” she stated.

On her decision to call for partnership in the completion of the National Library, the First Lady said the project would go a long way in helping indigent students in their educational pursuits.

In her remarks, the leader of the Forum, Director General of the Nigerians in Diaspora Commission, NIDCOM, Abike Dabiri Erewa, emphasised that they do not take the opportunity to serve the nation lightly and would continue to champion the course of good governance and service to the people.

“As a group, Your Excellency, we do not take our mandates lightly and are sincerely grateful to His Excellency President Bola Ahmed Tinubu for deeming us fit and proper to hold our respective offices, and that is why we are here to pledge our support to the Administration and to you as the First Lady of the Nation.

“We commend your Renewed Hope Initiatives. Your dedication to women’s empowerment is truly inspiring. Your efforts at women’s inclusion and ensuring women’s voices are heard are noteworthy. Your support for women’s rights and gender equity, and initiatives that uplift women. As a group and also as individuals, we affirm our commitment and unflinching support for your initiatives”.

“We pledge to work collaboratively with your office as you continue to foster unity amongst women from diverse backgrounds, drive progress, and implement initiatives that promote women’s empowerment and national development.

“We pledge our solidarity and support for the Renewed Hope agenda of Mr President, and we will assiduously work for his success in the 2027 election,” she said.

24 female CEO’s heading various government agencies and organisations were in the Villa for the visit.",https://punchng.com/mentor-young-women-oluremi-tinubu-urges-female-ceos/,https://punchng.com
VIDEO: Hilda Baci commences attempt to cook world’s biggest pot of jollof rice,"According to the organisers, more than 20,000 people registered to attend the festival, which is free and open to the public.",https://punchng.com/video-hilda-baci-commences-attempt-to-cook-worlds-biggest-pot-of-jollof-rice/,https://punchng.com
Burkina Faso scraps visa fees for Africans,"The government of Burkina Faso has announced the removal of visa fees for all African nationals, as a step to strengthen Pan-African solidarity and encourage the free movement of people and goods.

BBC reports that the Minister of Security, Mahamadou Sana, disclosed the policy shift on Thursday after a cabinet meeting presided over by the country’s military leader, Captain Ibrahim Traoré.

“From now on, any citizen from an African country wishing to go to Burkina Faso will not pay any amount to cover visa fees,” Sana said.

He, however, clarified that travellers would still be required to submit an online application for approval before entry.

Citizens of West African countries already travel to Burkina Faso without visas, but the move comes amid uncertainty over the country’s status in the Economic Community of West African States.

Along with Mali and Niger, Burkina Faso withdrew from the bloc earlier this year, raising concerns about future travel arrangements within the region.

The Sahelian nation now joins Ghana, Rwanda and Kenya in adopting policies that make travel easier for Africans, in line with the African Union’s push for greater integration across the continent.

According to the BBC, a statement from the junta’s information service said the new visa-free policy “for African nationals will also help promote tourism and Burkinabe culture, and improve Burkina Faso’s visibility abroad.”

Traoré, who seized power in a 2022 coup, has styled himself as a Pan-Africanist leader critical of colonial influence and Western dominance.

His popularity has been amplified across the continent, particularly on social media.

Burkina Faso, like its neighbours Mali and Niger, has been battling Islamist insurgents for over a decade, with nearly 40 per cent of its territory estimated to be outside state control.

Despite closer security ties with Russia and repeated promises by the junta to restore stability, attacks on civilians and the military remain frequent.",https://punchng.com/burkina-faso-scraps-visa-fees-for-africans/,https://punchng.com
